full_name,birthdate,birthday,gender,type,start_term,end_term,state,class,district,party,how,zodiac_sign,age_start,age_start,age_end,age_end,duration_days,duration_years,duration_months
Eugene Noble Foss,1858-09-24,09-24,M,rep,1909-03-15,1911-03-03,MA,,14.0,Democrat,,Libra,50.0,50.0,52.0,52.0,718.0,1.0,11.0
William Walker Foulkrod,1846-11-22,11-22,M,rep,1907-12-02,1909-03-03,PA,,5.0,Republican,,Sagittarius,61.0,61.0,62.0,62.0,457.0,1.0,3.0
Charles Newell Fowler,1852-11-02,11-02,M,rep,1895-12-02,1897-03-03,NJ,,8.0,Republican,,Scorpio,43.0,43.0,44.0,44.0,457.0,1.0,3.0
Joseph Holt Gaines,1864-09-03,09-03,M,rep,1901-12-02,1903-03-03,WV,,3.0,Republican,,Virgo,37.0,37.0,38.0,38.0,456.0,1.0,3.0
Washington  Gardner,1845-02-16,02-16,M,rep,1899-12-04,1901-03-03,MI,,3.0,Republican,,Aquarius,54.0,54.0,56.0,56.0,454.0,1.0,2.0
Alfred Buckwalter Garner,1873-03-04,03-04,M,rep,1909-03-15,1911-03-03,PA,,12.0,Republican,,Pisces,36.0,36.0,38.0,38.0,718.0,1.0,11.0
John  Gill Jr.,1850-06-09,06-09,M,rep,1905-12-04,1907-03-03,MD,,4.0,Democrat,,Gemini,55.0,55.0,56.0,56.0,454.0,1.0,2.0
Oscar William Gillespie,1858-06-20,06-20,M,rep,1903-11-09,1905-03-03,TX,,12.0,Democrat,,Gemini,45.0,45.0,46.0,46.0,480.0,1.0,3.0
Samuel Louis Gilmore,1859-07-30,07-30,M,rep,1909-03-15,1911-03-03,LA,,2.0,Democrat,,Leo,49.0,49.0,51.0,51.0,718.0,1.0,11.0
Herman Philip Goebel,1853-04-05,04-05,M,rep,1903-11-09,1905-03-03,OH,,2.0,Republican,,Aries,50.0,50.0,51.0,51.0,480.0,1.0,3.0
James  Gordon,1833-12-06,12-06,M,sen,1909-03-15,1911-03-03,MS,2.0,,Democrat,,Sagittarius,75.0,75.0,77.0,77.0,718.0,1.0,11.0
Joseph Verdi Graff,1854-07-01,07-01,M,rep,1895-12-02,1897-03-03,IL,,14.0,Republican,,Cancer,41.0,41.0,42.0,42.0,457.0,1.0,3.0
William Harrison Graham,1844-08-03,08-03,M,rep,1897-03-15,1899-03-03,PA,,23.0,Republican,,Leo,52.0,52.0,54.0,54.0,718.0,1.0,11.0
John Gaston Grant,1858-01-01,01-01,M,rep,1909-03-15,1911-03-03,NC,,10.0,Republican,,Capricorn,51.0,51.0,53.0,53.0,718.0,1.0,11.0
James Mathews Griggs,1861-03-29,03-29,M,rep,1897-03-15,1899-03-03,GA,,2.0,Democrat,,Aries,35.0,35.0,37.0,37.0,718.0,1.0,11.0
Thomas Ray Hamer,1864-05-04,05-04,M,rep,1909-03-15,1911-03-03,ID,,1.0,Republican,,Taurus,44.0,44.0,46.0,46.0,718.0,1.0,11.0
James Smith Havens,1859-05-28,05-28,M,rep,1909-03-15,1911-03-03,NY,,32.0,Democrat,,Gemini,49.0,49.0,51.0,51.0,718.0,1.0,11.0
Weldon Brinton Heyburn,1852-05-23,05-23,M,sen,1903-11-09,1909-03-03,ID,3.0,,Republican,,Gemini,51.0,51.0,56.0,56.0,1941.0,5.0,3.0
Edmund Howard Hinshaw,1860-12-08,12-08,M,rep,1903-11-09,1905-03-03,NE,,4.0,Republican,,Sagittarius,42.0,42.0,44.0,44.0,480.0,1.0,3.0
William Marcellus Howard,1857-12-06,12-06,M,rep,1897-03-15,1899-03-03,GA,,8.0,Democrat,,Sagittarius,39.0,39.0,41.0,41.0,718.0,1.0,11.0
Benjamin Franklin Howell,1844-01-27,01-27,M,rep,1895-12-02,1897-03-03,NJ,,3.0,Republican,,Aquarius,51.0,51.0,53.0,53.0,457.0,1.0,3.0
William Pallister Hubbard,1843-12-24,12-24,M,rep,1907-12-02,1909-03-03,WV,,1.0,Republican,,Capricorn,63.0,63.0,65.0,65.0,457.0,1.0,3.0
George Franklin Huff,1842-07-16,07-16,M,rep,1891-12-07,1893-03-03,PA,,21.0,Republican,,Cancer,49.0,49.0,50.0,50.0,452.0,1.0,2.0
Charles James Hughes Jr.,1853-02-16,02-16,M,sen,1909-03-15,1911-12-31,CO,3.0,,Democrat,,Aquarius,56.0,56.0,58.0,58.0,1021.0,2.0,9.0
John Albert Tiffin Hull,1841-05-01,05-01,M,rep,1891-12-07,1893-03-03,IA,,7.0,Republican,,Taurus,50.0,50.0,51.0,51.0,452.0,1.0,2.0
William Darius Jamieson,1873-11-09,11-09,M,rep,1909-03-15,1911-03-03,IA,,8.0,Democrat,,Scorpio,35.0,35.0,37.0,37.0,718.0,1.0,11.0
Adna Romulus Johnson,1860-12-14,12-14,M,rep,1909-03-15,1911-03-03,OH,,10.0,Republican,,Sagittarius,48.0,48.0,50.0,50.0,718.0,1.0,11.0
Martin Nelson Johnson,1850-03-03,03-03,M,rep,1891-12-07,1893-03-03,ND,,1.0,Republican,,Pisces,41.0,41.0,43.0,43.0,452.0,1.0,2.0
Joseph Forney Johnston,1843-03-23,03-23,M,sen,1907-12-02,1909-03-03,AL,3.0,,Democrat,,Aries,64.0,64.0,65.0,65.0,457.0,1.0,3.0
James  Joyce,1870-07-02,07-02,M,rep,1909-03-15,1911-03-03,OH,,15.0,Republican,,Cancer,38.0,38.0,40.0,40.0,718.0,1.0,11.0
Joseph Warren Keifer,1836-01-30,01-30,M,rep,1877-10-15,1879-03-03,OH,,8.0,Republican,,Aquarius,41.0,41.0,43.0,43.0,504.0,1.0,4.0
John Austin Keliher,1866-11-06,11-06,M,rep,1903-11-09,1905-03-03,MA,,9.0,Democrat,,Scorpio,37.0,37.0,38.0,38.0,480.0,1.0,3.0
James  Kennedy,1853-09-03,09-03,M,rep,1903-11-09,1905-03-03,OH,,18.0,Republican,,Virgo,50.0,50.0,51.0,51.0,480.0,1.0,3.0
Charles Luman Knapp,1847-07-04,07-04,M,rep,1901-12-02,1903-03-03,NY,,24.0,Republican,,Cancer,54.0,54.0,55.0,55.0,456.0,1.0,3.0
John  Kronmiller,1858-12-06,12-06,M,rep,1909-03-15,1911-03-03,MD,,3.0,Republican,,Sagittarius,50.0,50.0,52.0,52.0,718.0,1.0,11.0
Gustav  Küstermann,1850-05-24,05-24,M,rep,1907-12-02,1909-03-03,WI,,9.0,Republican,,Gemini,57.0,57.0,58.0,58.0,457.0,1.0,3.0
Tulio  Larrinaga,1847-01-15,01-15,M,rep,1905-12-04,1907-03-03,PR,,0.0,Unionist,,Capricorn,58.0,58.0,60.0,60.0,454.0,1.0,2.0
Francis Rives Lassiter,1866-02-18,02-18,M,rep,1899-12-04,1901-03-03,VA,,4.0,Democrat,,Aquarius,33.0,33.0,35.0,35.0,454.0,1.0,2.0
Charles Blakeslee Law,1872-02-05,02-05,M,rep,1905-12-04,1907-03-03,NY,,4.0,Republican,,Aquarius,33.0,33.0,35.0,35.0,454.0,1.0,2.0
Robert Maclin Lively,1855-01-06,01-06,M,rep,1909-03-15,1911-03-03,TX,,3.0,Democrat,,Capricorn,54.0,54.0,56.0,56.0,718.0,1.0,11.0
Leonidas Felix Livingston,1832-04-03,04-03,M,rep,1891-12-07,1893-03-03,GA,,5.0,Democrat,,Aries,59.0,59.0,60.0,60.0,452.0,1.0,2.0
William  Lorimer,1861-04-27,04-27,M,rep,1895-12-02,1897-03-03,IL,,2.0,Republican,,Taurus,34.0,34.0,35.0,35.0,457.0,1.0,3.0
William Croad Lovering,1835-02-25,02-25,M,rep,1897-03-15,1899-03-03,MA,,12.0,Republican,,Pisces,62.0,62.0,64.0,64.0,718.0,1.0,11.0
Frank Orren Lowden,1861-01-26,01-26,M,rep,1905-12-04,1907-03-03,IL,,13.0,Republican,,Aquarius,44.0,44.0,46.0,46.0,454.0,1.0,2.0
Frederick  Lundin,1868-05-18,05-18,M,rep,1909-03-15,1911-03-03,IL,,7.0,Republican,,Taurus,40.0,40.0,42.0,42.0,718.0,1.0,11.0
Zachary David Massey,1864-11-14,11-14,M,rep,1909-03-15,1911-03-03,TN,,1.0,Republican,,Scorpio,44.0,44.0,46.0,46.0,718.0,1.0,11.0
Harry Lee Maynard,1861-06-08,06-08,M,rep,1901-12-02,1903-03-03,VA,,2.0,Democrat,,Gemini,40.0,40.0,41.0,41.0,456.0,1.0,3.0
William Wallace McCredie,1862-04-27,04-27,M,rep,1909-03-15,1911-03-03,WA,,2.0,Republican,,Taurus,46.0,46.0,48.0,48.0,718.0,1.0,11.0
Samuel Douglas McEnery,1837-05-28,05-28,M,sen,1897-03-15,1903-03-03,LA,3.0,,Democrat,,Gemini,59.0,59.0,65.0,65.0,2178.0,5.0,11.0
Duncan E. McKinlay,1862-10-06,10-06,M,rep,1905-12-04,1907-03-03,CA,,2.0,Republican,,Libra,43.0,43.0,44.0,44.0,454.0,1.0,2.0
James  McLachlan,1852-08-01,08-01,M,rep,1895-12-02,1897-03-03,CA,,6.0,Republican,,Leo,43.0,43.0,44.0,44.0,457.0,1.0,3.0
James Monroe Miller,1852-05-06,05-06,M,rep,1899-12-04,1901-03-03,KS,,4.0,Republican,,Taurus,47.0,47.0,48.0,48.0,454.0,1.0,2.0
Charles Stephen Millington,1855-03-13,03-13,M,rep,1909-03-15,1911-03-03,NY,,27.0,Republican,,Pisces,54.0,54.0,56.0,56.0,718.0,1.0,11.0
John Motley Morehead,1866-07-20,07-20,M,rep,1909-03-15,1911-03-03,NC,,5.0,Republican,,Cancer,42.0,42.0,44.0,44.0,718.0,1.0,11.0
Charles Henry Morgan,1842-07-05,07-05,M,rep,1875-12-06,1877-03-03,MO,,6.0,Democrat,,Cancer,33.0,33.0,34.0,34.0,453.0,1.0,2.0
William James Moxley,1851-05-22,05-22,M,rep,1909-03-15,1911-03-03,IL,,6.0,Republican,,Gemini,57.0,57.0,59.0,59.0,718.0,1.0,11.0
Sydney Emanuel Mudd,1858-02-12,02-12,M,rep,1889-12-02,1891-03-03,MD,,5.0,Republican,,Aquarius,31.0,31.0,33.0,33.0,456.0,1.0,3.0
Arthur Phillips Murphy,1870-12-10,12-10,M,rep,1905-12-04,1907-03-03,MO,,16.0,Republican,,Sagittarius,35.0,35.0,36.0,36.0,454.0,1.0,2.0
Thomas David Nicholls,1870-09-16,09-16,M,rep,1907-12-02,1909-03-03,PA,,10.0,Democrat,,Virgo,37.0,37.0,38.0,38.0,457.0,1.0,3.0
Joseph Francis O’Connell,1872-12-07,12-07,M,rep,1907-12-02,1909-03-03,MA,,10.0,Democrat,,Sagittarius,35.0,35.0,36.0,36.0,457.0,1.0,3.0
Pablo  Ocampo,1853-01-25,01-25,M,rep,1907-12-02,1909-03-03,PI,,0.0,,,Aquarius,54.0,54.0,56.0,56.0,457.0,1.0,3.0
Jacob Van Vechten Olcott,1856-05-17,05-17,M,rep,1905-12-04,1907-03-03,NY,,15.0,Republican,,Taurus,49.0,49.0,50.0,50.0,454.0,1.0,2.0
Henry Wilbur Palmer,1839-07-10,07-10,M,rep,1901-12-02,1903-03-03,PA,,12.0,Republican,,Cancer,62.0,62.0,63.0,63.0,456.0,1.0,3.0
Herbert  Parsons,1869-10-28,10-28,M,rep,1905-12-04,1907-03-03,NY,,13.0,Republican,,Scorpio,36.0,36.0,37.0,37.0,454.0,1.0,2.0
James O’Hanlon Patterson,1857-06-25,06-25,M,rep,1905-12-04,1907-03-03,SC,,2.0,Democrat,,Cancer,48.0,48.0,49.0,49.0,454.0,1.0,2.0
George Alexander Pearre,1860-07-16,07-16,M,rep,1899-12-04,1901-03-03,MD,,6.0,Republican,,Cancer,39.0,39.0,40.0,40.0,454.0,1.0,2.0
George Clement Perkins,1839-08-23,08-23,M,sen,1893-08-07,1897-03-03,CA,3.0,,Republican,,Virgo,53.0,53.0,57.0,57.0,1304.0,3.0,6.0
James Breck Perkins,1847-11-04,11-04,M,rep,1901-12-02,1903-03-03,NY,,31.0,Republican,,Scorpio,54.0,54.0,55.0,55.0,456.0,1.0,3.0
Charles Clarence Pratt,1854-04-23,04-23,M,rep,1909-03-15,1911-03-03,PA,,14.0,Republican,,Taurus,54.0,54.0,56.0,56.0,718.0,1.0,11.0
William Augustus Reeder,1849-08-28,08-28,M,rep,1899-12-04,1901-03-03,KS,,6.0,Republican,,Virgo,50.0,50.0,51.0,51.0,454.0,1.0,2.0
Charles Chester Reid,1868-06-15,06-15,M,rep,1901-12-02,1903-03-03,AR,,4.0,Democrat,,Gemini,33.0,33.0,34.0,34.0,456.0,1.0,3.0
John Merriman Reynolds,1848-03-05,03-05,M,rep,1905-12-04,1907-03-03,PA,,19.0,Republican,,Pisces,57.0,57.0,59.0,59.0,454.0,1.0,2.0
Joseph Lafayette Rhinock,1863-01-04,01-04,M,rep,1905-12-04,1907-03-03,KY,,6.0,Democrat,,Capricorn,42.0,42.0,44.0,44.0,454.0,1.0,2.0
Elihu  Root,1845-02-15,02-15,M,sen,1909-03-15,1915-03-03,NY,3.0,,Republican,,Aquarius,64.0,64.0,70.0,70.0,2179.0,5.0,11.0
Gordon James Russell,1859-12-22,12-22,M,rep,1901-12-02,1903-03-03,TX,,3.0,Democrat,,Capricorn,41.0,41.0,43.0,43.0,456.0,1.0,3.0
Charles Frederick Scott,1860-09-07,09-07,M,rep,1901-12-02,1903-03-03,KS,,-1.0,Republican,,Virgo,41.0,41.0,42.0,42.0,456.0,1.0,3.0
William Paine Sheffield,1857-06-01,06-01,M,rep,1909-03-15,1911-03-03,RI,,1.0,Republican,,Gemini,51.0,51.0,53.0,53.0,718.0,1.0,11.0
Howard Malcolm Snapp,1855-09-27,09-27,M,rep,1903-11-09,1905-03-03,IL,,11.0,Republican,,Libra,48.0,48.0,49.0,49.0,480.0,1.0,3.0
George Newell Southwick,1863-03-07,03-07,M,rep,1895-12-02,1897-03-03,NY,,20.0,Republican,,Pisces,32.0,32.0,34.0,34.0,457.0,1.0,3.0
Nehemiah Day Sperry,1827-07-10,07-10,M,rep,1895-12-02,1897-03-03,CT,,2.0,Republican,,Cancer,68.0,68.0,69.0,69.0,457.0,1.0,3.0
Thomas  Spight,1841-10-25,10-25,M,rep,1897-03-15,1899-03-03,MS,,2.0,Democrat,,Scorpio,55.0,55.0,57.0,57.0,718.0,1.0,11.0
Isaac  Stephenson,1829-06-18,06-18,M,rep,1883-12-03,1885-03-03,WI,,9.0,Republican,,Gemini,54.0,54.0,55.0,55.0,456.0,1.0,3.0
George Cookman Sturgiss,1842-08-16,08-16,M,rep,1907-12-02,1909-03-03,WV,,2.0,Republican,,Leo,65.0,65.0,66.0,66.0,457.0,1.0,3.0
John Philip Swasey,1839-09-04,09-04,M,rep,1907-12-02,1909-03-03,ME,,2.0,Republican,,Virgo,68.0,68.0,69.0,69.0,457.0,1.0,3.0
James Albertus Tawney,1855-01-03,01-03,M,rep,1893-08-07,1895-03-03,MN,,1.0,Republican,,Capricorn,38.0,38.0,40.0,40.0,573.0,1.0,6.0
John Kinley Tener,1863-07-25,07-25,M,rep,1909-03-15,1911-03-03,PA,,24.0,Republican,,Leo,45.0,45.0,47.0,47.0,718.0,1.0,11.0
Charles Randolph Thomas,1861-08-21,08-21,M,rep,1899-12-04,1901-03-03,NC,,3.0,Democrat,,Leo,38.0,38.0,39.0,39.0,454.0,1.0,2.0
William Aubrey Thomas,1866-06-07,06-07,M,rep,1903-11-09,1905-03-03,OH,,19.0,Republican,,Gemini,37.0,37.0,38.0,38.0,480.0,1.0,3.0
Fountain Land Thompson,1854-11-18,11-18,M,sen,1909-03-15,1911-03-03,ND,3.0,,Democrat,,Scorpio,54.0,54.0,56.0,56.0,718.0,1.0,11.0
Charles Quincy Tirrell,1844-12-10,12-10,M,rep,1901-12-02,1903-03-03,MA,,4.0,Republican,,Sagittarius,57.0,57.0,58.0,58.0,456.0,1.0,3.0
William Ellsworth Tou Velle,1862-11-23,11-23,M,rep,1907-12-02,1909-03-03,OH,,4.0,Democrat,,Sagittarius,45.0,45.0,46.0,46.0,457.0,1.0,3.0
Robert Minor Wallace,1856-08-06,08-06,M,rep,1903-11-09,1905-03-03,AR,,7.0,Democrat,,Leo,47.0,47.0,48.0,48.0,480.0,1.0,3.0
Irving Price Wanger,1852-03-05,03-05,M,rep,1893-08-07,1895-03-03,PA,,7.0,Republican,,Pisces,41.0,41.0,43.0,43.0,573.0,1.0,6.0
Charles Grenfill Washburn,1857-01-28,01-28,M,rep,1905-12-04,1907-03-03,MA,,3.0,Republican,,Aquarius,48.0,48.0,50.0,50.0,454.0,1.0,2.0
Charles Herman Weisse,1866-10-24,10-24,M,rep,1903-11-09,1905-03-03,WI,,6.0,Democrat,,Scorpio,37.0,37.0,38.0,38.0,480.0,1.0,3.0
Nelson Platt Wheeler,1841-11-04,11-04,M,rep,1907-12-02,1909-03-03,PA,,28.0,Republican,,Scorpio,66.0,66.0,67.0,67.0,457.0,1.0,3.0
William Halsted Wiley,1842-07-10,07-10,M,rep,1903-11-09,1905-03-03,NJ,,8.0,Republican,,Cancer,61.0,61.0,62.0,62.0,480.0,1.0,3.0
William Forte Willett Jr.,1869-11-27,11-27,M,rep,1907-12-02,1909-03-03,NY,,14.0,Democrat,,Sagittarius,38.0,38.0,39.0,39.0,457.0,1.0,3.0
Richard  Young,1846-08-06,08-06,M,rep,1909-03-15,1911-03-03,NY,,5.0,Republican,,Leo,62.0,62.0,64.0,64.0,718.0,1.0,11.0
Le Roy Percy,1860-11-09,11-09,M,sen,1910-01-01,1913-03-03,MS,2.0,,Democrat,,Scorpio,49.0,49.0,52.0,52.0,1157.0,3.0,2.0
William Edward Purcell,1856-08-03,08-03,M,sen,1910-01-01,1911-12-31,ND,3.0,,Democrat,,Leo,53.0,53.0,55.0,55.0,729.0,1.0,12.0
Joseph Meriwether Terrell,1861-06-06,06-06,M,sen,1910-01-01,1911-12-31,GA,3.0,,Democrat,,Gemini,48.0,48.0,50.0,50.0,729.0,1.0,12.0
John Randolph Thornton,1846-08-25,08-25,M,sen,1910-01-01,1915-03-03,LA,3.0,,Democrat,,Virgo,63.0,63.0,68.0,68.0,1887.0,5.0,2.0
Lafayette  Young,1848-05-10,05-10,M,sen,1910-01-01,1911-12-31,IA,2.0,,Republican,,Taurus,61.0,61.0,63.0,63.0,729.0,1.0,12.0
Theron  Akin,1855-05-23,05-23,M,rep,1911-04-04,1913-03-03,NY,,25.0,Progressive Republican,,Gemini,55.0,55.0,57.0,57.0,699.0,1.0,11.0
Butler  Ames,1871-08-22,08-22,M,rep,1903-11-09,1905-03-03,MA,,5.0,Republican,,Leo,32.0,32.0,33.0,33.0,480.0,1.0,3.0
Carl Carey Anderson,1877-12-02,12-02,M,rep,1909-03-15,1911-03-03,OH,,13.0,Democrat,,Sagittarius,31.0,31.0,33.0,33.0,718.0,1.0,11.0
William Henry Andrews,1846-01-14,01-14,M,rep,1905-12-04,1907-03-03,NM,,-1.0,Republican,,Capricorn,59.0,59.0,61.0,61.0,454.0,1.0,2.0
John Emory Andrus,1841-02-16,02-16,M,rep,1905-12-04,1907-03-03,NY,,19.0,Republican,,Aquarius,64.0,64.0,66.0,66.0,454.0,1.0,2.0
Steven Beckwith Ayres,1861-10-27,10-27,M,rep,1911-04-04,1913-03-03,NY,,18.0,Democrat,,Scorpio,49.0,49.0,51.0,51.0,699.0,1.0,11.0
Arthur Laban Bates,1859-06-06,06-06,M,rep,1901-12-02,1903-03-03,PA,,26.0,Republican,,Gemini,42.0,42.0,43.0,43.0,456.0,1.0,3.0
Henry Harrison Bingham,1841-12-04,12-04,M,rep,1879-03-18,1881-03-03,PA,,1.0,Republican,,Sagittarius,37.0,37.0,39.0,39.0,716.0,1.0,11.0
John William Boehne,1856-10-28,10-28,M,rep,1909-03-15,1911-03-03,IN,,1.0,Democrat,,Scorpio,52.0,52.0,54.0,54.0,718.0,1.0,11.0
Charles Calvin Bowman,1852-11-14,11-14,M,rep,1911-04-04,1913-03-03,PA,,11.0,Republican,,Scorpio,58.0,58.0,60.0,60.0,699.0,1.0,11.0
Thomas Wilson Bradley,1844-04-06,04-06,M,rep,1903-11-09,1905-03-03,NY,,20.0,Republican,,Aries,59.0,59.0,60.0,60.0,480.0,1.0,3.0
William Gordon Brantley,1860-09-18,09-18,M,rep,1897-03-15,1899-03-03,GA,,11.0,Democrat,,Virgo,36.0,36.0,38.0,38.0,718.0,1.0,11.0
Nathan Philemon Bryan,1872-04-23,04-23,M,sen,1911-04-04,1917-03-03,FL,1.0,,Democrat,,Taurus,38.0,38.0,44.0,44.0,2160.0,5.0,11.0
Theron Ephron Catlin,1878-05-16,05-16,M,rep,1911-04-04,1913-03-03,MO,,11.0,Republican,,Taurus,32.0,32.0,34.0,34.0,699.0,1.0,11.0
William Edwin Chilton,1858-03-17,03-17,M,sen,1911-04-04,1917-03-03,WV,1.0,,Democrat,,Pisces,53.0,53.0,59.0,59.0,2160.0,5.0,11.0
Moses Edwin Clapp,1851-05-21,05-21,M,sen,1901-12-02,1905-03-03,MN,1.0,,Republican,,Gemini,50.0,50.0,53.0,53.0,1187.0,3.0,3.0
Clarence Don Clark,1851-04-16,04-16,M,rep,1889-12-02,1891-03-03,WY,,0.0,Republican,,Aries,38.0,38.0,39.0,39.0,456.0,1.0,3.0
Richard Edward Connell,1857-11-06,11-06,M,rep,1911-04-04,1913-03-03,NY,,21.0,Democrat,,Scorpio,53.0,53.0,55.0,55.0,699.0,1.0,11.0
James Middleton Cox,1870-03-31,03-31,M,rep,1909-03-15,1911-03-03,OH,,3.0,Democrat,,Aries,38.0,38.0,40.0,40.0,718.0,1.0,11.0
Edgar Dean Crumpacker,1851-05-27,05-27,M,rep,1897-03-15,1899-03-03,IN,,10.0,Republican,,Gemini,45.0,45.0,47.0,47.0,718.0,1.0,11.0
Frank Dunklee Currier,1853-10-30,10-30,M,rep,1901-12-02,1903-03-03,NH,,2.0,Republican,,Scorpio,48.0,48.0,49.0,49.0,456.0,1.0,3.0
George  Curry,1861-04-03,04-03,M,rep,1911-04-04,1913-03-03,NM,,-1.0,Republican,,Aries,50.0,50.0,51.0,51.0,699.0,1.0,11.0
John  Dalzell,1845-04-19,04-19,M,rep,1887-12-05,1889-03-03,PA,,22.0,Republican,,Aries,42.0,42.0,43.0,43.0,454.0,1.0,2.0
James Alexander Daugherty,1847-08-30,08-30,M,rep,1911-04-04,1913-03-03,MO,,15.0,Democrat,,Virgo,63.0,63.0,65.0,65.0,699.0,1.0,11.0
Henry Schermerhorn De Forest,1847-02-16,02-16,M,rep,1911-04-04,1913-03-03,NY,,23.0,Republican,,Aquarius,64.0,64.0,66.0,66.0,699.0,1.0,11.0
Matthew Rombach Denver,1870-12-21,12-21,M,rep,1907-12-02,1909-03-03,OH,,6.0,Democrat,,Sagittarius,36.0,36.0,38.0,38.0,457.0,1.0,3.0
William Alexander Dickson,1861-07-20,07-20,M,rep,1909-03-15,1911-03-03,MS,,7.0,Democrat,,Cancer,47.0,47.0,49.0,49.0,718.0,1.0,11.0
Francis Henry Dodds,1858-06-09,06-09,M,rep,1909-03-15,1911-03-03,MI,,11.0,Republican,,Gemini,50.0,50.0,52.0,52.0,718.0,1.0,11.0
William Henry Draper,1841-06-24,06-24,M,rep,1901-12-02,1903-03-03,NY,,19.0,Republican,,Cancer,60.0,60.0,61.0,61.0,456.0,1.0,3.0
Michael Edward Driscoll,1851-02-09,02-09,M,rep,1899-12-04,1901-03-03,NY,,27.0,Republican,,Aquarius,48.0,48.0,50.0,50.0,454.0,1.0,2.0
John Wilbur Dwight,1859-05-24,05-24,M,rep,1901-12-02,1903-03-03,NY,,26.0,Republican,,Gemini,42.0,42.0,43.0,43.0,456.0,1.0,3.0
James Edwin Ellerbe,1867-01-12,01-12,M,rep,1905-12-04,1907-03-03,SC,,6.0,Democrat,,Capricorn,38.0,38.0,40.0,40.0,454.0,1.0,2.0
Lynden  Evans,1858-06-28,06-28,M,rep,1911-04-04,1913-03-03,IL,,9.0,Democrat,,Cancer,52.0,52.0,54.0,54.0,699.0,1.0,11.0
Charles Vincent Fornes,1844-01-22,01-22,M,rep,1907-12-02,1909-03-03,NY,,11.0,Democrat,,Aquarius,63.0,63.0,65.0,65.0,457.0,1.0,3.0
David Johnson Foster,1857-06-27,06-27,M,rep,1901-12-02,1903-03-03,VT,,1.0,Republican,,Cancer,44.0,44.0,45.0,45.0,456.0,1.0,3.0
John James Gardner,1845-10-17,10-17,M,rep,1893-08-07,1895-03-03,NJ,,2.0,Republican,,Libra,47.0,47.0,49.0,49.0,573.0,1.0,6.0
Obadiah  Gardner,1852-09-13,09-13,M,sen,1911-04-04,1913-03-03,ME,2.0,,Democrat,,Virgo,58.0,58.0,60.0,60.0,699.0,1.0,11.0
Patrick Francis Gill,1868-08-16,08-16,M,rep,1909-03-15,1911-03-03,MO,,11.0,Democrat,,Leo,40.0,40.0,42.0,42.0,718.0,1.0,11.0
George Washington Gordon,1836-10-05,10-05,M,rep,1907-12-02,1909-03-03,TN,,10.0,Democrat,,Libra,71.0,71.0,72.0,72.0,457.0,1.0,3.0
Samuel Wadsworth Gould,1852-01-01,01-01,M,rep,1911-04-04,1913-03-03,ME,,3.0,Democrat,,Capricorn,59.0,59.0,61.0,61.0,699.0,1.0,11.0
Curtis Hussey Gregg,1865-08-09,08-09,M,rep,1911-04-04,1913-03-03,PA,,22.0,Democrat,,Leo,45.0,45.0,47.0,47.0,699.0,1.0,11.0
John M. Hamilton,1855-03-16,03-16,M,rep,1911-04-04,1913-03-03,WV,,4.0,Democrat,,Pisces,56.0,56.0,58.0,58.0,699.0,1.0,11.0
Louis Benjamin Hanna,1861-08-09,08-09,M,rep,1909-03-15,1911-03-03,ND,,-1.0,Republican,,Leo,47.0,47.0,49.0,49.0,718.0,1.0,11.0
Robert Orr Harris,1854-11-08,11-08,M,rep,1911-04-04,1913-03-03,MA,,14.0,Republican,,Scorpio,56.0,56.0,58.0,58.0,699.0,1.0,11.0
Jesse Lee Hartman,1853-06-18,06-18,M,rep,1911-04-04,1913-03-03,PA,,19.0,Republican,,Gemini,57.0,57.0,59.0,59.0,699.0,1.0,11.0
William Henry Heald,1864-08-27,08-27,M,rep,1909-03-15,1911-03-03,DE,,0.0,Republican,,Virgo,44.0,44.0,46.0,46.0,718.0,1.0,11.0
Edward Stevens Henry,1836-02-10,02-10,M,rep,1895-12-02,1897-03-03,CT,,1.0,Republican,,Aquarius,59.0,59.0,61.0,61.0,457.0,1.0,3.0
Edwin Werter Higgins,1874-07-02,07-02,M,rep,1905-12-04,1907-03-03,CT,,3.0,Republican,,Cancer,31.0,31.0,32.0,32.0,454.0,1.0,2.0
Leonard Paul Howland,1865-12-05,12-05,M,rep,1907-12-02,1909-03-03,OH,,20.0,Republican,,Sagittarius,42.0,42.0,43.0,43.0,457.0,1.0,3.0
Elbert Hamilton Hubbard,1849-08-19,08-19,M,rep,1905-12-04,1907-03-03,IA,,11.0,Republican,,Leo,56.0,56.0,57.0,57.0,454.0,1.0,2.0
Fred Schuyler Jackson,1868-04-19,04-19,M,rep,1911-04-04,1913-03-03,KS,,4.0,Republican,,Aries,42.0,42.0,44.0,44.0,699.0,1.0,11.0
Charles Fletcher Johnson,1859-02-14,02-14,M,sen,1911-04-04,1917-03-03,ME,1.0,,Democrat,,Aquarius,52.0,52.0,58.0,58.0,2160.0,5.0,11.0
Nathan Edward Kendall,1868-03-17,03-17,M,rep,1909-03-15,1911-03-03,IA,,6.0,Republican,,Pisces,41.0,41.0,42.0,42.0,718.0,1.0,11.0
John Worth Kern,1849-12-20,12-20,M,sen,1911-04-04,1917-03-03,IN,1.0,,Democrat,,Sagittarius,61.0,61.0,67.0,67.0,2160.0,5.0,11.0
